Id,Title,Description,Date,Duration,Type,Session,Track,Presenters,Materials
951,The physical vacuum in standard theories and in alternative approaches,"We discuss the possible role of the physical vacuum in different approaches to Particle Physics and Cosmology, and suggest new dynamical scenarios involving unconventional vacuum Physics. The internal dynamics of the physical vacuum can be basically independent from that described by standard Quantum Field Theory and with a deeper content. It can play a fundamental role driving the evolution of the Universe and leading the ultimate laws of Particle Physics. Possible preonic structures and pre-Big Bang models are also considered in this respect, as well as a composite structure of standard particle interactions including gravity.     An updated review of these and related problematics is presented, including relevant original patterns. Attention is devoted to the present situation concerning black holes and gravitational waves.",2017-08-29 05:30:00+00:00,30 minutes,Talk,Special session on Astro-Cosmo-Gravity,Mini-Workshop on Latest Results and New Physics in the Higgs Sector,Luis Gonzalez-Mestres,"https://indico.cern.ch/event/559774/contributions/2647709/attachments/1497176/2330102/Cosmological_implications_of_a_preonic_vacuum.pdf, https://indico.cern.ch/event/559774/contributions/2647709/attachments/1497176/2330100/GONZALEZ-MESTRES_Luis_ICNFP2016_lecture.pdf, https://indico.cern.ch/event/559774/contributions/2647709/attachments/1497176/2330103/GONZALEZ-MESTRES_Luis_ICNFP2016_poster2.pdf"
953,"The analogy of equation of rotation in complex plane with the Dirac equation, and its foundation","Quantum mechanics is based or formulated on postulates. The first postulate states that the state of quantum mechanics system is defined by the wave function. The Schrödinger equation has the form of a differential equation describing the evolution process of the function. Dirac equation is derived on the base of that postulate of wave function evolution in addition to Dirac’s proposed linearized Hamiltonian form.     Within the frame of Dirac’s relativistic quantum theory, Hestenes in 1990 refers the complex wave function to a kinematic origin (Zitterbewegung), and Arminjon  argued that Dirac field is a complex vector field.     The present project is not in quantum mechanics. It tries to propose a mathematical model. This model is based on the mathematical foundations of the complex phase factor and the complex vector, those has been proposed by Hestenes and Arminjon. The model is a complex vector in terms of complex phase factor. The project is in two parts. The first tries to find analogy between time differentiation of the complex vector and the position-space Dirac equation . The second tries to find a physical explanation for the complex vector.     In the first part, the equation of time differentiation of the complex vector shows analogy with the Dirac equation form. The two obtained coefficients those corresponding to the Dirac coefficients have similar properties of those of Dirac. These two coefficients are related to the rotation of the point. The second derivative of the complex vector shows analogy with Klein-Gordon equation.     In the second part, the complex vector is considered in trigonometrical form. That led to assume a general real algebraic form for the complex vector, and the complex vector is a special case of the real form. The real trigonometrical form exhibits a real kinematical model. Transformation from real kinematical model to complex form is attributed to partial observation, which is an empirical problem. Sanduk in 2012 proposed the partial observation as an empirical technique for that transformation.",2017-08-25 12:00:00+00:00,30 minutes,Talk,Parallel session,Workshop on Quantum Foundations and Quantum Information,Mohammed Sanduk,
954,The nature and origin of Quantum Mechanics,"An updated discussion is presented of the various approaches to the deep nature and ultimate origin of Quantum Mechanics, with particular emphasis on the possible role of space-time beyond standard relativity and of the physical vacuum beyond standard Quantum Field Theory. Uncertainties on the cosmological history of the generation of Quantum Mechanics are also dealt with. Experimental tests and possible modifications of standard quantum mechanics are equally considered.",2017-08-25 11:30:00+00:00,30 minutes,Talk,Parallel session,Workshop on Quantum Foundations and Quantum Information,Luis Gonzalez-Mestres,"https://indico.cern.ch/event/559774/contributions/2653325/attachments/1497175/2330098/GONZALEZ-MESTRES_Luis_ICNFP2016_lecture.pdf, https://indico.cern.ch/event/559774/contributions/2653325/attachments/1497175/2330099/Quantum_Mechanics_and_the_Spinorial_Space-Time.pdf"
956,PHENIX Measurements of Charm and Bottom Decays,"Heavy flavor quarks are a particularly good tool to probe nuclear collisions at RHIC energies, as they are produced dominantly through the initial parton-parton collision rather than during thermalization. This causes them to experience the full evolution of the collision system. PHENIX has produced several measurements of both bottom and charm quarks through their decays, providing insight to the mass dependent energy loss quarks experience while propagating through the Quark Gluon Plasma (QGP).  This talk will focus on preliminary results of measurements of bottom and charm quarks through their semileptonic decays at $\sqrt{s}=200$ GeV including their nuclear modification factor ($R_{AA}$) and measurements of the nuclear modification of B mesons through the B$\rightarrow$J/ψ decay.",2017-08-25 12:15:00+00:00,20 minutes,Talk,B Heavy Ion Physics Session,B Heavy Ion Collisions and Critical Phenomena,Timothy Rinn,
958,Towards the first measurement of matter-antimatter gravitational interaction,"The AEgIS (Antimatter Experiment: gravity, Interferometry, Spectroscopy) is a CERN based experiment with the central aim to measure directly the gravitational acceleration of antihydrogen. Antihydrogen atoms will be produced via charge exchange reactions which will consist of Rydberg-excited positronium atoms sent to cooled antiprotons within an electromagnetic trap. The resulting Rydberg antihydrogen atoms would then be horizontally accelerated by an electric field gradient (Stark effect), they will then pass through a moiré deflectometer. The vertical deflections caused by the Earth gravitational field will test for the first time the Weak Equivalence principle for antimatter. Detection will be undertaken via a position sensitive detector. Around `10^3` antihydrogen atoms are needed for the gravitational measurement to be undertaken.    The present status, current achievements and results will be presented, with special attention to the strategies to produce positronium atoms in different geometries.",2017-08-26 12:30:00+00:00,30 minutes,Talk,Parallel session,"D Cosmology, Astrophysics, Gravity, Mathematical Physics",Craig William Evans,
959,Recent PHENIX results on high-pT light hadron production,"Production of Quark Gluon Plasma (QGP) has been established in central heavy ion collisions (Au+Au, Cu+Cu) at RHIC energies. Observation of strong suppression of hadron yields at high transverse momentum served as one of the most important evidences in favor of production of a new state of matter in such collisions. Recent RHIC run with asymmetric collision system (Cu+Au) provides the means to systematically study suppression pattern of hadrons in different nuclear overlap geometry needed to improve theoretical description of parton energy loss in QGP.    Non-zero elliptic flow and a hint of suppression of high pT hadrons suggests that mini-QGP can be formed in collisions of light and heavy nuclei characterized by high charged particle multiplicities. To address the question of collective behavior in small systems RHIC provided series of geometry controlled experiments with highly asymmetric systems (p+Al, p+Au, He3+Au).    The recent results from PHENIX experiment at RHIC on charged hadron, pi-zero, eta and phi meson production in asymmetric systems will be presented and discussed.",2017-08-28 12:00:00+00:00,30 minutes,Talk,Parallel session,B Heavy Ion Collisions and Critical Phenomena,Wenqing Fan,
960,Measurements of the Higgs H(125) boson at CMS,"The talk reviews the measurements of the 125 GeV Higgs boson in several final states, performed by the CMS collaboration. The main focus is on results obtained with data from LHC proton-proton collisions at a centre-of-mass energy of 13 TeV.",2017-08-19 08:00:00+00:00,30 minutes,Talk,Mini-Workshop on Latest Results and New Physics in the Higgs Sector,Mini-Workshop on Latest Results and New Physics in the Higgs Sector,Valeria Botta,
961,Low-energy K$^-$ interaction with light nuclei by the AMADEUS collaboration,"The AMADEUS collaboration is aiming to study the K$^-$ hadronic interaction with light nuclei in the low-energy regime with high precision. The main goal is to provide information on the $\bar{\mathrm{K}}$N interaction in nuclear medium, fundamental for the understanding of the non-perturbative QCD in the strangeness sector, with implications going from nuclear physics to astrophysics. Hyperon-nucleon/nuclei (YN) and hyperon-pion (Y$\pi$) correlation studies are performed with the aim to explore the possible existence of deeply bound kaonic states in nuclei and the properties of hyperon resonances in nuclear environment. AMADEUS takes advantage of the DA$\Phi$NE collider, which provides a unique source of monochromatic low-momentum kaons ($p_\mathrm{K}$ ~ 127 MeV/c). As a first step, we explore the hadronic interaction of the negative kaons in the materials of the KLOE detector, which is used as large acceptance and resolution active target, providing a high statistic sample of K$^-$ nuclear absorption on H, $^4$He, $^9$Be and $^{12}$C nuclei. Future plans will be also discussed.",2017-08-29 05:30:00+00:00,30 minutes,Talk,Parallel session,A High Energy Particle Physics:,Raffaele Del Grande,
962,Cosmological bounce and Genesis beyond Horndeski,"We study a ""classical"" bouncing scenario in beyond Horndeski theory. We give an example of spatially flat bouncing solution that is non-singular and stable throughout the whole evolution. The model is arranged in such a way that the scalar field driving the cosmological evolution initially behaves like full-fledged beyond Horndeski, whereas at late times it becomes a massless scalar field minimally coupled to gravity.    Based on arXiv:1705.06626 [hep-th]",2017-08-21 08:00:00+00:00,30 minutes,Talk,Special session on Astro-Cosmo-Gravity,Special session on Astro-Cosmo-Gravity,Roman Kolevatov,
963,Using the Tsallis distribution for hadron spectra in pp collisions,"A thermal model, based on the Tsallis distribution and blast-wave model, is proposed to compute hadron double-differential     spectra $d^{2}N/dp_{\rm T}dy$ in $pp$ (also high-energy $p\overline{p}$) collisions. It successfully describes the    available experimental data on pion and quarkonia ($\phi$, ${\rm J}/\psi$, $\psi({\rm 2S})$, ${\rm\Upsilon}$ family) production at energies from     $\sqrt{s}=$ 5 GeV to the LHC ones. Simple parametrizations for the $\sqrt{s}$ dependence of the model parameters are provided    allowing predictions for the yields of these particles at new collision energies.",2017-08-26 12:30:00+00:00,30 minutes,Talk,Parallel session,A High Energy Particle Physics:,Smbat Grigoryan,
966,The Pierre Auger Observatory: latest results and future perspectives,"The Pierre Auger Observatory  is the largest ultrahigh-energy cosmic ray observatory in the world.    The huge amount of high quality data collected since 2004 up to now, with a total exposure approaching to  60.000 km^2 sr yr, led to great improvements in our knowledge of the ultra-energetic cosmic rays.     The suppression of the cosmic-ray flux at highest energies was clearly established. For the first time the proton-proton cross sections was measured at the energy 57 TeV in the center of mass system. On the other hand, measurements of the depth of shower maximum indicate a puzzling trend  in the mass composition of cosmic rays at energy around the ankle up to the highest energy.     The just started upgrade of the Observatory, dubbed AugerPrime, will improve the identification of the mass  of primaries and then will allow to disentangle among models of origin and propagation of cosmic rays.",2017-08-24 10:00:00+00:00,30 minutes,Talk,"D Astroparticle, Cosmology,d Gravity, Math Phys",Special session on Astro-Cosmo-Gravity,Mario Buscemi,
967,One quantum shutter can close two slits simultaneously,"The interference between two paths of a single photon at a double slit is widely considered to be the most paradoxical result of quantum theory. Here is a new interesting question to the phenomenon: can a single shutter simultaneously close two slits by effectively being in a superposition of different locations? Supprisingly, Aharonov and Vaidman have shown that it is indeed possible to construct a quantum shutter that can close two (or more) slits and reflect a probe photon perfectly when its initial and final states are appropriately selected [1]. Here, we demonstrate the protocol proposed by Aharonov and Vaidman using a photonic quantum circuit [2]. As a quantum shutter, we used a shutter photon in a superposition state in modes that control two photonic quantum routers for the nonlinear interaction with a probe photon. The experimental results show that when the shutter photon is found in the appropriate final state, the input probe photon is reflected by the quantum shutter, with a probability exceeding the classical limit. By checking the coherence of the output probe photon, we also verified that the quantum superposition of the probe photon is not destroyed by the shutter.    [1] Aharonov, Y., & Vaidman, L. How one shutter can close N slits. Physical Review A, 67, 1-3 (2003).    [2] Okamoto, R., & Takeuchi, S. Experimental demonstration of a quantum shutter closing two slits simultaneously. Scientific Reports, 6, 35161 (2016).",2017-08-24 06:00:00+00:00,30 minutes,Talk,Workshop on Quantum Foundations and Quantum Information,Workshop on Quantum Foundations and Quantum Information,OKAMOTO RYO,
968,Transverse momentum spectra and nuclear modification factors of identified charged hadrons in p-Pb and Pb-Pb collisions at √sNN  = 5.02 TeV with ALICE,"The ALICE experiment has measured the production of identified light-flavour hadrons in p-Pb and Pb-Pb collisions at 5.02 TeV in a wide range of transverse momentum (pT ). The newest ALICE results on pion, kaon and proton transverse momentum spectra, yield ratios and nuclear modification factors will be presented and discussed in comparison to lower energy results and hydrodynamical models. In particular, the production of identified hadrons in most central Pb-Pb collisions relative to pp collisions is found to be strongly suppressed at high transverse momenta (pT > 8 GeV/c) whereas in p-Pb collisions the nuclear modification factors are consistent with unity. This indicates that the strong suppression of high- pT hadrons measured in central Pb-Pb collisions is not due to an initial state effect but instead to the energy loss of partons traversing a hot and dense QCD medium.",2017-08-19 13:30:00+00:00,30 minutes,Talk,Parallel session,B Heavy Ion Collisions and Critical Phenomena,Maria Vasileiou,
970,DAMA/LIBRA results and perspectives,"The DAMA/LIBRA experiment is in data taking in the underground Gran Sasso Laboratory. The data collected by DAMA/LIBRA-phase1 have been released, and considering also the former DAMA/NaI experiment, the data of 14 independent annual cycles (total exposure 1.33 ton x yr) - analysed by exploiting the model-independent Dark Matter (DM) annual modulation signature - have given evidence at 9.3&sigma; C.L. for the presence of DM particles in the galactic halo. No systematic or side reaction able to mimic the observed eect has been found or suggested by anyone. Other kinds of investigations have been recently performed and will be introduced here.    At present, after an upgrade of the experiment, DAMA/LIBRA is running in its phase-2 with increased sensitivity. R&D's towards a possible future phase-3 are in progress. Finally, the possibility of a low background pioneer experiment to exploit the directionality approach by using anisotropic ZnWO4 scintillators is discussed.",2017-08-22 08:00:00+00:00,30 minutes,Talk,Special session on Astro-Cosmo-Gravity,Special session on Astro-Cosmo-Gravity,Vincenzo Caracciolo,
971,Statistical superdegeneracy and quantum foundations,"The foundations of quantum mechanics have always been     closely tied to statistical physics; historically, of     course, the former subject began through wrestling with     unresolved issues in the latter.  This presentation     introduces a new concept, statistical superdegeneracy     (unrelated to magnetism and band structures) that may have     implications for quantum foundations.  As one possible     motivation, consider population inversion (e.g., in     lasers). It is a nonequilibrium phenomenon owing to the     dominance of the Boltzmann factor in determining state     occupancy under thermal equilibrium.  State degeneracy,     while adding detail, is assumed to be of secondary     importance.  In this paper, a new type of degeneracy is     explored, one that increases sufficiently rapidly with energy so as to     dominate the Boltzmann exponential, thereby leading to new     phenomena, like population inversion at thermal     equilibrium as well as stationary quantum currents.  Physical systems that might exhibit this anomalous     degeneracy are proposed, and ramifications for quantum and     statistical foundations are discussed.",2017-08-24 12:30:00+00:00,30 minutes,Talk,Workshop on Quantum Foundations and Quantum Information,Workshop on Quantum Foundations and Quantum Information,Daniel Sheehan,
972,SU(2) Yang-Mills thermodynamics: a priori estimate and radiative corrections,"We discuss the structure of the deconfining ground state, its particle and wavelike excitations, and how well effective radiative corrections are controlled. In particular, we elucidate the contributions to the pressure of massive 2PI bubble diagrams with dihedral symmetry of arbitrarily high loop order and how these are resummed to exhibit hierarchical suppression compared to one- and two-loop order.",2017-08-19 07:00:00+00:00,30 minutes,Talk,Special Session on QCD,Special session on QCD - from vacuum to finite temperatures,Ralf Hofmann,
973,"Self-Interacting Dark Matter, Right-Handed Neutrinos and Small-Scale Cosmology ``Crisis''","I discuss tensions between numerical simulations based on $Lambda$CDM cosmology and observations at galactic scales (Small-scale Cosmology ``Crisis'') and then proceed to review ways of alleviating them, including the inclusion of self-interacting dark matter. As a specific model of such dark matter, I discuss minimal extensions of the standard model, involving right handed (Majorana) neutrinos, which however are assumed to be self-interacting via vector potentials in the dark sector. The galactic scale phenomenology of such a model, and ways of resolving the aforementioned issues in small-scale cosmology, are discussed. It is found that consistency with observations regarding galactic halo-core structure in several galaxies, including the Milky Way, requires a mass for the right-handed neutrino dark matter in the O(50) keV range, with a self interaction coupling (at low (keV) energies) about eight orders of magntidude stronger than the weak interaction Fermi coupling in the corresponding range of energies. This mass range of right-handed neutrinos is in a remarkable coincidence with that for the lightest right-handed Majorana neutrino in the so-called nuMSM (neutrino Minimal Standard Model) of Shaposhnikov and collaborators, which, though, is attained by a different reasoning. If time allows, I will also discuss a novel mechanism for generating such a mass, which goes beyond conventional mechanisms for neutrino masses.     REFERENCES:    [1] Self-interacting dark matter    Nick E. Mavromatos (King's Coll. London), Carlos R. Argüelles (ICRA, Pescara & Buenos Aires, CONICET & Buenos Aires U.), Remo Ruffini, Jorge A. Rueda (ICRA, Pescara & Rome U. & ICRA, Rome & ICRA, Rio de Janeiro). 2016. 28 pp.    Published in Int.J.Mod.Phys. D26 (2016) no.03, 1730007    DOI: 10.1142/S0218271817300075     [2] The role of self-interacting right-handed neutrinos in galactic structure    C.R. Argüelles (Rome U. & ICRA, Pescara & INFN, Rome), N.E. Mavromatos (CERN & King's Coll. London), J.A. Rueda, R. Ruffini (ICRA, Pescara & ICRA, Rome & Rome U.). Jan 31, 2015. 6 pp.    Published in JCAP 1604 (2016) no.04, 038    DOI: 10.1088/1475-7516/2016/04/038    e-Print: arXiv:1502.00136",2017-08-17 08:00:00+00:00,40 minutes,Lecture,Lectures,Lectures,Nikos Mavromatos,https://indico.cern.ch/event/559774/contributions/2657018/attachments/1508194/2350867/Kolymbari_2017_Mavromatos_final.pdf
974,Counter-intuitive phenomena in quantum mechanics  emerging in matter-wave optical experiments,"Peculiarities of quantum mechanical predictions on a fundamental level are investigated intensively in matter-wave optical setups; in particular, neutron interferometric strategy has been providing almost ideal experimental circumstances for experimental demonstrations of quantum effects. In this device quantum interference between beams spatially separated on a macroscopic scale is put on explicit view. Recently, a new counter-intuitive phenomenon, called quantum Cheshire-cat, is observed in a neutron interferometer experiment. Weak measurement and weak values justify the access of the neutrons’ dynamics in the interferometer. Moreover, another experiment reported full determination of weak-values of neutron’s ½-spin; this experiment is further applied to demonstrate quantum Pigeonhole effect and quantum contextual. In my talk, I am going to give an overview of neutron interferometry for investigation of quantum paradoxes.",2017-08-25 08:00:00+00:00,30 minutes,Talk,Workshop on Quantum Foundations and Quantum Information,Workshop on Quantum Foundations and Quantum Information,Yuji Hasegawa,
976,Sub-leading flow modes in PbPb collisions at $\sqrt{s_{NN}}$ = 2.76 TeV from HYDJET++ model,"Recent LHC results on the appearance of sub-leading flow modes in PbPb collisions at 2.76 TeV, related to initial-state fluctuations, are analyzed and interpreted within the HYDJET++ model. Using the newly introduced Principal Component Analysis (PCA) method applied to two-particle azimuthal correlations extracted from the model calculations, the leading and the sub-leading flow modes are studied as a function of the transverse momentum ($p_{T}$) over a wide centrality range. The leading modes of the elliptic ($v^{(1)}_{2}$) and triangular ($v^{(1)}_{3}$) flow calculated within the HYDJET++ model reproduce rather well the $v_{2}\{2\}$ and $v_{3}\{2\}$ coefficients experimentally measured using the two-particle correlations. Within the $p_{T} \le $ 3 GeV/c range where hydrodynamics dominates, the sub-leading flow effects are greatest at the highest $p_{T}$ of around 3 GeV/c. The sub-leading elliptic flow mode ($v^{(2)}_{2}$), which corresponds to $n = 2$ harmonic, has a small non-zero value and slowly increases from central to peripheral collisions, while the sub-leading triangular flow mode ($v^{(2)}_{3}$), which corresponds to $n = 3$ harmonic, is even smaller and does not depend on centrality. For $n = $ 2, the relative magnitude of the effect measured with respect to the leading flow mode shows a shallow minimum for semi-central collisions and increases for very central and for peripheral collisions. For $n = $ 3 case, there is no centrality dependence. The sub-leading flow mode results obtained from the HYDJET++ model are in a rather good agreement with the experimental measurements of the CMS Collaboration.",2017-08-23 13:30:00+00:00,30 minutes,Talk,Parallel session,A High Energy Particle Physics:,Jovan Milosevic,
977,ATLAS overview highlight talk,plenary talk : ATLAS overview highlight talk,2017-08-21 06:30:00+00:00,30 minutes,Talk,A Particle Physics,A High Energy Particle Physics:,ATLAS,
978,BEH overview (ATLAS),plenary : BEH overview (ATLAS),2017-08-19 05:55:00+00:00,30 minutes,Talk,Mini-Workshop on Latest Results and New Physics in the Higgs Sector,Mini-Workshop on Latest Results and New Physics in the Higgs Sector,ATLAS,
979,Collider searches for DM (ATLAS+CMS),plenary : Collider searches for DM (ATLAS+CMS)    -->result of negociation with CMS : made by ATLAS,2017-08-17 08:40:00+00:00,40 minutes,Lecture,Lectures,Lectures,ATLAS,https://indico.cern.ch/event/559774/contributions/2657234/attachments/1509188/2352776/ICNFP1-YR-DM.pdf
982,Hunting New Physics with ATLAS [ATLAS],"Highlights from recent new physics searches with the ATLAS detector at the CERN LHC will be presented. They include searches for extra-dimension models, compositeness, new gauge bosons, leptoquarks, supersymmetry, among others. Results are based on analysis of pp collision data recorded at a centre-of-mass energy of 13 TeV.",2017-08-23 08:00:00+00:00,30 minutes,Talk,A Particle Physics,A High Energy Particle Physics:,Vasiliki Mitsou,
